NO,약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영
3785,웰빙국내선약국,02-2662-3623,"서울특별시 강서구 하늘길 112, 3층 (공항동, 국내선청사)",07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:50
3786,어울림이층약국,02-2296-9866,"서울특별시 성동구 독서당로40길 39 2층 (옥수동, 옥수 어울림)",09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,-,-,-
3787,메디칼약국,02-2299-0204,서울특별시 성동구 고산자로 234,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-
3788,불광다올약국,02-351-3090,"서울특별시 은평구 통일로 728, 1층 (불광동)",09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,-,-,-
3789,명성약국,02-836-0206,"서울특별시 영등포구 도림로 152-4, (대림동)",07:30~18:30,07:30~18:30,07:30~18:30,07:30~18:30,07:30~18:30,09:00~14:00,-,-
3790,신대흥약국,02-2679-0777,"서울특별시 영등포구 선유로 343, (당산동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,09:00~13:00,09:00~17:00
3791,중앙온누리약국,02-761-0512,서울특별시 영등포구 여의대방로 417,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
3792,웃는내일약국,02-2068-9969,서울특별시 영등포구 선유로 64,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~13:00,09:00~13:00,-
3793,중앙약국,02-491-0081,"서울특별시 중랑구 신내로 128 (신내동, 동성아파트)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
3794,조이약국,070-7716-8916,서울특별시 중랑구 용마산로 497 (망우동),08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~16:00,-,-
3795,이즈약국,02-496-6526,서울특별시 중랑구 망우로 411 (망우동),08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,08:30~18:00,-
3796,은혜당약국,02-437-3337,서울특별시 중랑구 망우로32길 49 (면목동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-
3797,우선약국,02-433-1946,서울특별시 중랑구 봉화산로 61 (중화동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
3798,무궁화약국,02-2207-6709,서울특별시 중랑구 면목로 303 (면목동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,10:00~22:00,09:00~22:00
3799,면목종로약국,02-439-3161,서울특별시 중랑구 겸재로 121 (면목동),08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,-,-
3800,늘푸른온누리약국,02-432-2004,서울특별시 중랑구 면목로27길 80 (면목동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
3801,원이약국,02-333-3131,"서울특별시 마포구 와우산로 94, 제2기숙사 지하1층 B110호 (상수동)",08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,11:00~22:00,-,-
3802,연세참사랑약국,02-3273-7582,서울특별시 마포구 서강로 110 1층 (신수동),09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,09:00~13:00,-,-
3803,종로프라자약국,02-907-4266,"서울특별시 도봉구 노해로65길 14-3, 1층 (창동)",08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,-
3804,제정약국,02-874-4360,"서울특별시 관악구 신림로 383, 1층 (신림동)",09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,-,-,09:00~18:00
3805,모두온누리약국,02-875-5955,"서울특별시 관악구 남부순환로 1869, 1층 (봉천동)",09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,09:30~14:00,-,-
3806,옵티마뚝도시장약국,02-467-4711,"서울특별시 성동구 성덕정길 96-1, (성수동2가)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,10:00~22:00,10:00~22:00
3807,우리서울약국,02-3785-1233,"서울특별시 용산구 한강대로 95, 2층 207호 (한강로2가, 래미안용산)",09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,-,-,-
3808,샘약국,02-523-9285,"서울특별시 서초구 사임당로 38, 큐브플러스 2층 202-2호 (서초동)",09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,-,-,-
3809,메디팜인정약국,02-2664-1121,서울특별시 강서구 양천로 72,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~16:30,-,-
3810,이수약국,02-2696-5878,서울특별시 강서구 강서로16길 32 (화곡동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,-,-
3811,월성약국,02-2602-0774,"서울특별시 강서구 강서로17길 141, (화곡동)",08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,-
3812,이화약국,02-2602-6172,"서울특별시 강서구 강서로 191, (화곡동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,09:00~14:00,-
3813,숙명온누리약국,02-717-6415,"서울특별시 용산구 청파로47길 66, (청파동2가)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,-
3814,문약국,02-793-2296,서울특별시 용산구 독서당로 67,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~21:00,-,-
3815,소망약국,02-434-6002,"서울특별시 중랑구 봉화산로 105, 1층(상봉동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~17:00,-,-,-
3816,가야온누리약국,02-997-4540,"서울특별시 도봉구 노해로65길 17-9, 102,103호 (창동,삼원프라자)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
3817,제안약국,02-386-7923,서울특별시 은평구 연서로11길 19 (구산동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,10:00~18:00,-,-
3818,옵티마서울약국,02-6456-8971,"서울특별시 중구 한강대로 416, 1층 9-1호 (남대문로5가, 서울스퀘어)",08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~15:00,09:00~13:00,09:00~13:00
3819,온정약국,02-3446-2147,"서울특별시 강남구 논현로 648, 1층 (논현동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,08:00~14:30,-,-
3820,도심공항약국,02-554-4906,서울특별시 강남구 영동대로 513,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00
3821,인터팜이화약국,02-541-5434,서울특별시 강남구 도산대로38길 11 (논현동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
3822,해성약국,02-528-3528,"서울특별시 강남구 테헤란로 504, 지하1층 (대치동,해성빌딩)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
3823,153온누리약국,02-2291-9153,"서울특별시 성동구 왕십리로 410, K동 106호 (하왕십리동, 센트라스)",09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,-,-,-
3824,유니팜서울약국,02-556-7886,"서울특별시 강남구 테헤란로 109, 1층 (역삼동, 강남제일빌딩)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,10:00~18:00,10:00~18:00
3825,우리대치약국,02-569-8009,"서울특별시 강남구 남부순환로 2936, 윈플러스상가 1층 102호 (대치동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,-
3826,이소약국,02-2699-8681,"서울특별시 강서구 강서로 242, 상가동 4층 17호 (화곡동, 강서힐스테이트)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,09:00~13:00
3827,미도파약국,02-308-8887,"서울특별시 은평구 응암로 264, 서울빌딩 1층 (응암동)",09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,-,-,-
3828,이화메디약국,02-2633-3721,"서울특별시 영등포구 당산로 122, 우미빌딩 1층 102호 (당산동3가)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,09:00~18:00
3829,명심약국,02-575-5867,서울특별시 강남구 개포로 207 (개포동),09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,-,-
3830,옵티마자양미소약국,02-453-7985,"서울특별시 광진구 뚝섬로 606, (자양동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,10:00~23:00,10:00~23:00
3831,메디칼우리약국,02-971-6040,"서울특별시 노원구 동일로 1044, 1층 (공릉동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,-,-,-
3832,제생약국,02-956-3675,서울특별시 도봉구 도당로 94 (방학동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
3833,송파미소약국,02-425-3296,"서울특별시 송파구 올림픽로35길 10, B동 308-1호 (신천동, 파크리오)",09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,-,-,-
3834,구로미소약국,02-2615-0766,서울특별시 구로구 서해안로 2338 (오류동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-,-
3835,정아약국,02-336-0486,"서울특별시 마포구 독막로 43, 1층 (합정동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-
3836,제당약국,02-821-9417,서울특별시 동작구 국사봉길 97 (상도동),09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~20:00,-,-
3837,유경약국,02-986-0533,"서울특별시 도봉구 마들로 684, 1층 (도봉동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
3838,종로온누리약국,02-2636-1110,"서울특별시 영등포구 시흥대로187길 12, 상가동 103호 (대림동, 대림동현대아파트)",07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~18:00,10:00~18:00,10:00~18:00
3839,명문약국,02-400-8216,"서울특별시 송파구 마천로41길 20, 1층 (마천동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-,-
3840,동서울약국,02-470-6100,"서울특별시 송파구 강동대로 61-1, 지층 (풍납동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
3841,신논현약국,02-545-3580,"서울특별시 강남구 봉은사로 109, 싼타홍메디컬타워 지하1층 (논현동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
3842,즐거운약국,02-2685-5675,서울특별시 구로구 경인로 320 (개봉동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-
3843,은혜약국,02-992-9191,서울특별시 도봉구 도봉로118길 11 (창동),09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~18:00,-,-
3844,중앙프라자약국,02-3401-3818,"서울특별시 송파구 마천로57길 4, 1층 (마천동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-
3845,모범약국,02-415-9273,"서울특별시 송파구 백제고분로 258, 삼전원빌딩 (삼전동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,10:00~19:00,-
3846,윤호약국,02-400-0148,"서울특별시 송파구 마천로 311, 윤호약국 (마천동)",09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,10:00~20:00,-,-
3847,뉴프라임약국,02-403-2638,"서울특별시 송파구 송파대로 278, 1층 (가락동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,08:00~23:00,09:00~22:00,09:00~22:00
3848,유한약국,02-421-5777,서울특별시 송파구 올림픽로 104 (잠실동),09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~19:00,-,-
3849,갤러리약국,02-6227-5578,서울특별시 강남구 학동로20길 55 106호,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
3850,유경약국,02-591-5027,"서울특별시 서초구 방배중앙로 167, (방배동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-
3851,왕십리약국,02-2292-4247,"서울특별시 성동구 무학봉길 92, (하왕십리동)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,-,-
3852,유림약국,02-2292-5235,"서울특별시 성동구 무학봉13길 1, (하왕십리동)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~20:00,-,-
3853,세심약국,02-2282-5734,"서울특별시 성동구 마장로35길 76, 105-2 (마장동,현대아파트상가)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-
3854,왕약국,02-467-2485,"서울특별시 성동구 광나루로 323, (송정동)",08:30~16:00,08:30~16:00,08:30~16:00,08:30~16:00,08:30~16:00,-,-,10:00~22:00
3855,명인약국,02-821-0383,서울특별시 동작구 여의대방로 126 (신대방동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,14:00~20:00,-
3856,온누리정일약국,02-392-2786,"서울특별시 중구 청파로 437, (중림동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,-,09:00~19:30
3857,새금강약국,02-848-1564,"서울특별시 영등포구 시흥대로181길 10-4, (대림동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~19:00,-,-
3858,우당약국,02-761-1190,"서울특별시 영등포구 국제금융로 108-6 (여의도동, 진주아파트)",08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,-,08:00~22:00,-
3859,온누리평안약국,02-2634-6769,"서울특별시 영등포구 양평로24길 9 (양평동5가, 양평동한신아파트)",08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,-,-
3860,용상약국,02-457-9311,"서울특별시 광진구 아차산로 626, (광장동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,12:00~21:00,17:00~22:00,-
3861,성동약국,02-452-1809,서울특별시 광진구 자양번영로 11,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,-
3862,스타시티약국,02-447-7439,"서울특별시 광진구 아차산로 290, (자양동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-
3863,솔약국,070-7122-0075,"서울특별시 강동구 진황도로 85 (길동) 강동큐브2차105,106호",09:00~13:30,09:00~13:30,09:00~13:30,09:00~13:30,09:00~13:30,09:00~13:00,-,-
3864,조양약국,02-851-3245,"서울특별시 관악구 신사로10길 14, (신림동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-
3865,신지약국,02-882-2740,서울특별시 관악구 신림로 105,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,09:00~22:30,-,-
3866,백두약국,02-2689-6576,서울특별시 구로구 오류로8길 26 (오류동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-
3867,천수온누리약국,02-864-3897,서울특별시 금천구 가산로 111,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
3868,정진약국,02-805-3541,"서울특별시 금천구 독산로64길 19, (독산동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-
3869,메디팜대안약국,02-803-8452,서울특별시 금천구 시흥대로 352,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,08:30~21:30,-,-
3870,유아약국,02-804-0785,"서울특별시 금천구 시흥대로104길 14, (독산동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~09:30,-,-
3871,목원약국,02-937-4428,"서울특별시 노원구 상계로37길 29, (상계동)",08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,-,09:00~20:00
3872,정제약국,02-842-3228,"서울특별시 영등포구 도영로 49, (도림동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~18:00,-,-
3873,유명약국,02-845-3780,서울특별시 영등포구 도신로60길 2,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~18:00,-,-
3874,종대약국,02-846-4062,"서울특별시 영등포구 도림로 352, (도림동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,08:00~22:00,08:00~22:00,-
3875,기림약국,02-832-7780,"서울특별시 영등포구 대림로34길 29, (대림동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,-
3876,이도온누리약국,02-2633-7167,서울특별시 영등포구 당산로31길 6,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~19:00,-,-
3877,이준약국,02-2695-6625,"서울특별시 양천구 신월로 187, (신월동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-
3878,목동세명약국,02-2645-7525,서울특별시 양천구 목동중앙북로 27,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,09:00~22:00
3879,목동복지약국,02-2062-1652,"서울특별시 양천구 목동서로 38, 102(목동,목동6단지아파트일반상가)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~18:00,-,-
3880,목동세계로약국,02-2644-4680,서울특별시 양천구 목동동로12길 45,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,09:00~21:00
3881,매일여는약국,02-2061-3650,서울특별시 양천구 목동동로 233-1 (목동),09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
3882,무지개약국,02-462-8604,"서울특별시 광진구 뚝섬로 498-1, (자양동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-
3883,유림약국,02-930-6858,서울특별시 노원구 동일로230가길 15 (상계동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,09:00~22:00
3884,웰빙서울온누리약국,02-497-3092,서울특별시 광진구 뚝섬로 499 (자양동),09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~20:00,-,-
3885,소담약국,02-765-2126,"서울특별시 종로구 성균관로 18, (명륜2가)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~21:00,13:00~21:00,-
3886,종로우리약국,02-2275-4700,"서울특별시 종로구 종로 202, 1층 (종로4가)",08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00
3887,은평오렌지약국,02-389-5553,서울특별시 은평구 진관2로 29-21,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,-
3888,명성약국,02-332-4603,서울특별시 마포구 월드컵로 87,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,09:00~13:00,-,-
3889,백두산약국,02-498-3083,"서울특별시 성동구 서울숲2길 47, (성수동1가)",08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,09:00~22:00,09:00~22:00,09:00~23:00
3890,월곡약국,02-913-2900,"서울특별시 성북구 화랑로11길 6, (하월곡동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~22:00,-,09:00~21:30
3891,서울약국,02-3275-3300,"서울특별시 마포구 마포대로 156, 공덕푸르지오시티 121호 (공덕동)",08:30~14:00,08:30~14:00,08:30~14:00,08:30~14:00,08:30~14:00,-,-,-
3892,후문약국,02-851-2811,서울특별시 구로구 가마산로 222 (구로동),09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,-,-
3893,주약국,02-2662-0431,"서울특별시 강서구 공항대로 23, (공항동)",08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,-,-
3894,메디팜대야약국,02-2608-9074,"서울특별시 강서구 강서로 56, (화곡동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-
3895,감초약국,02-2602-5884,서울특별시 강서구 강서로 38,10:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-
3896,참사랑약국,02-942-3137,"서울특별시 성북구 장위로 107, (장위동)",08:30~15:00,08:30~15:00,08:30~15:00,08:30~15:00,08:30~15:00,-,-,-
3897,정주약국,02-743-3635,서울특별시 성북구 오패산로 63,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,12:00~18:00
3898,메디팜일진약국,02-2245-3665,서울특별시 성동구 용답중앙길 80-1,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,-,09:00~18:00,-
3899,유한약국,02-547-1696,서울특별시 강남구 강남대로122길 47 (논현동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-
3900,다나약국,02-2234-0345,"서울특별시 중구 동호로 171, (신당동)",07:30~22:00,07:30~22:00,07:30~22:00,07:30~22:00,07:30~22:00,07:30~22:00,-,-
3901,자연주의약국,02-2235-0306,서울특별시 중구 다산로 90,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
3902,명소약국,02-965-0237,서울특별시 성북구 돌곶이로 28,09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,09:00~22:00,09:00~21:00,-
3903,이화약산온누리약국,02-419-2755,"서울특별시 송파구 가락로 211, 충북빌딩 (송파동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,-,-
3904,제일그랜드약국,02-546-0093,서울특별시 강남구 강남대로 478,06:00~30:00,06:00~30:00,06:00~30:00,06:00~30:00,06:00~30:00,06:00~30:00,06:00~30:00,00:00~24:00
3905,은평프라자약국,02-308-9982,"서울특별시 은평구 증산로15길 6, (신사동)",09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,08:30~22:00,-,-
3906,조아약국,02-373-7525,"서울특별시 은평구 응암로 223, (응암동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
3907,조은백화점약국,02-304-6100,"서울특별시 은평구 응암로 201, (응암동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~22:00,-,-
3908,메디팜건강약국,02-372-9791,서울특별시 은평구 수색로 270-1,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,08:30~23:00,-,-
3909,이정약국,02-354-2195,"서울특별시 은평구 갈현로33길 27, (갈현동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-
3910,유니팜약국,02-546-8707,"서울특별시 강남구 도산대로 415, (청담동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~18:30,-,09:00~18:30
3911,메디팜미래로약국,02-713-8716,"서울특별시 용산구 청파로47길 40, (청파동2가)",08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,10:00~22:00,-
3912,용일약국,02-336-4340,"서울특별시 서대문구 홍제천로2길 32, (연희동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,-,-
3913,우리마을 홍제약국,02-396-1136,"서울특별시 서대문구 통일로 440, (홍제동)",08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,09:00~18:00,09:00~18:00,09:00~18:00
3914,용약국,02-701-7760,"서울특별시 마포구 신촌로 102-1, (노고산동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-
3915,우리약국,02-715-7290,"서울특별시 마포구 숭문길 215, (대흥동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,-
3916,우리들약국,02-337-9779,"서울특별시 마포구 동교로 203, (동교동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,-,-
3917,메디팜대림약국,02-2281-6377,서울특별시 성동구 행당로 87,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~20:00,-,-
3918,메디팜하나약국,02-2202-7109,서울특별시 송파구 송파대로 365 (석촌동),08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:30~18:00,08:30~13:00,-
3919,메디슨약국,070-4256-9231,"서울특별시 도봉구 해등로 255, 101동 102호 (쌍문동, 신원상가에벤에셀)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-
3920,서보약국,02-812-5399,서울특별시 동작구 서달로8길 4 (흑석동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
3921,사랑손약국,02-6411-1188,"서울특별시 서초구 서초대로38길 12, 103호 (서초동, 마제스타시티타워원)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
3922,서울대학약국,02-2069-1755,"서울특별시 영등포구 버드나루로7길 3, 경동미르웰 여의도 1층 105호 (영등포동2가)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
3923,맨하탄길약국,02-785-3132,"서울특별시 영등포구 국제금융로6길 33, 1층 127호 (여의도동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~20:00,-,-,-
3924,주영온누리약국,02-842-3492,"서울특별시 영등포구 영신로 9, 1층 (영등포동, 주영빌딩)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,-
3925,이층약국,02-6085-0466,"서울특별시 은평구 연서로 9, 2층 205(상가)호 (역촌동, 센타폴리스)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~15:00,-,-
3926,뚝섬스타약국,02-499-2600,"서울특별시 성동구 아차산로 42, 지하1층 (성수동1가)",09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,-,-,-
3927,유쾌한약국,02-2234-0827,"서울특별시 중구 다산로 172-1, 1층 (신당동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:30,-,-
